Time,GPS_Lat,GPS_Lon,GPS_Alt,Target_Lat,Target_Lon,Target_Alt
1751173443.7592492,36.0757742,136.213294,0.52,36.0757728,136.213294,0.5
1751173443.8593051,36.0757742,136.213294,0.52,36.0757728,136.213294,0.5
1751173443.9593618,36.0757733,136.213294,0.505,36.0757728,136.213294,0.5
1751173444.0594187,36.0757733,136.213294,0.505,36.0757728,136.213294,0.5
1751173444.1594763,36.0757733,136.213294,0.505,36.0757728,136.213294,0.5
1751173444.2595327,36.0757733,136.213294,0.505,36.0757728,136.213294,0.5
1751173444.3595898,36.0757733,136.213294,0.505,36.0757728,136.213294,0.5
1751173444.4596465,36.0757733,136.213294,0.505,36.0757728,136.213294,0.5
1751173444.5597115,36.0757733,136.213294,0.505,36.0757728,136.213294,0.5
1751173444.6597722,36.0757733,136.213294,0.505,36.0757728,136.213294,0.5
1751173444.7598298,36.0757733,136.213294,0.505,36.0757728,136.213294,0.5
1751173444.8598874,36.0757733,136.213294,0.505,36.0757719,136.213294,0.5
1751173444.9599454,36.0757728,136.2132938,0.513,36.0757719,136.213294,0.5
1751173445.0600023,36.0757728,136.2132938,0.513,36.0757719,136.213294,0.5
1751173445.16006,36.0757728,136.2132938,0.513,36.0757719,136.213294,0.5
1751173445.2601175,36.0757728,136.2132938,0.513,36.0757719,136.213294,0.5
1751173445.360175,36.0757728,136.2132938,0.513,36.0757719,136.213294,0.5
1751173445.4602315,36.0757728,136.2132938,0.513,36.0757719,136.213294,0.5
1751173445.5602887,36.0757728,136.2132938,0.513,36.0757719,136.213294,0.5
1751173445.6603458,36.0757728,136.2132938,0.513,36.0757719,136.213294,0.5
1751173445.760403,36.0757728,136.2132938,0.513,36.0757719,136.213294,0.5
1751173445.8604603,36.0757728,136.2132938,0.513,36.0757719,136.213294,0.5
1751173445.9605174,36.0757726,136.2132939,0.509,36.0757719,136.213294,0.5
1751173446.060574,36.0757726,136.2132939,0.509,36.0757719,136.213294,0.5
1751173446.160632,36.0757726,136.2132939,0.509,36.0757719,136.213294,0.5
1751173446.2606883,36.0757726,136.2132939,0.509,36.0757719,136.213294,0.5
1751173446.360746,36.0757726,136.2132939,0.509,36.0757719,136.213294,0.5
1751173446.4608028,36.0757726,136.2132939,0.509,36.0757719,136.213294,0.5
